AirLine_Name,Rating - 10,Title,Name,Date,Review,Recommend
AirAsia India,10,"""customer service was excellent""",S Haraye,7th April 2023,"✅ Trip Verified |  First time flying with Airasia. Hospitality and customer service was excellent. I arrived late in airport due to my car got an accident and check in gate was closed. However upon requesting airline staff that I have international connection, they allowed and assisted me in getting to the aircraft. A very big thank you to AirAsia India for making my travel successful.",yes
AirAsia India,10,"""exceptionally great service""",J Verlin,7th April 2023,"✅ Trip Verified |  I must mention about this this exceptionally great service rendered by AirAsia. I travelled in the Air Asia I5 472 from Goa to Mumbai on 18 December at 1 am. On arriving at Mumbai, my mother realised that she forgot to carry one of her bag from Goa airport to the flight. I can't explain in words how Air Asia has gone out of their way to get my bag from the Lost and Found Department, and send it to Mumbai by the earliest flight all free. The bag reached us in Mumbai safe and sound. I recommend Air Asia services as their way of handling their customers before flying, during the flight, and after flight is too good.",yes
AirAsia India,6,"""Overall not a bad experience""",Rahul Anand,7th April 2023,"✅ Trip Verified |  Airline with most compact seat arrangements. Iwould avoid this but in last moment its fare was cheapest from Delhi to Jaipur. Icing on the cake was I got last row window seat as it was the only row which was Available, fortunately no one was there in the middle seat so little bit of comfort. Departed on time and reached Jaipur before time. Cabin crew looks courteous but as it was early morning 5 am flight so after boarding slept all time so never needed to interact with them. Seats are compact as i said earlier. Overall not a bad experience for less than hour ling flight.",yes
AirAsia India,6,"""most congested seating""",Rahul Anand,7th April 2023,"✅ Trip Verified |  Service was ok, on time boarding and departure and so was arrival. Cabin crew were courteous but with respect to any other airline in India it has the least legroom, most congested seating configuration I found in India. This is one reason which makes me rethink before booking next flight with them.",no
AirAsia India,6,"""most congested seating configuration I found in India""",Rahul Anand,7th April 2023,"✅ Trip Verified | Another LCC in India, subsidiary of AirAsia. Service was ok, on time boarding and departure and so was arrival. Cabin crew were courteous but with respect to any other airline in India it has the least legroom, most congested seating configuration I found in India. This is one reason which makes me rethink before booking next flight with them.",no
AirAsia India,1,"""the staff was not cooperative""",Ankur Arora,7th April 2023,Not Verified |  AirAsia India is just pathetic. We were traveling in a group of 6 including an infant and on check-in the executive didn’t even bother to ask us or allocate the seats together as courtesy. All of us got separate seats and it was a nightmare to travel with a baby and no support from my family cause of these seats. Even some exemptions in the baggage allowance was close to nothing. Overall we felt the staff was not cooperative and the rules were way too stringent.,no
AirAsia India,1,"""Worst customer service""",S Jarmeer,7th April 2023,"✅ Trip Verified |  Worst customer service at Ranchi airport and this is the 3rd time, each time they create a unique bad experience with AirAsia at Ranchi. I saw them charging extra fee luggage, where couples were carrying with 14 kg cabined for checking. When I intervened they came with some random rules. But for sure will ensure I never use their service again",no
AirAsia India,1,"""had worst experience ever""",R Majesa,7th April 2023,"✅ Trip Verified |  I booked my Air Asia tickets for 2 Nov around 2 PM flight which got cancelled and rescheduled to different flight at 4.25 PM same day. At morning I received a call that new rescehuled flight delayed by 1 hour. After reaching to airport I again received a message that flight is delayed for 1 hour more and then it got delayed for more finally taking off at 9 PM and landing at 11.15 PM. So my 2.30 hour flight was actually 9 hours long. In airport AirAsia provided lunch which was only 5 spoons of biryani and there was no food provided in flight. Due to this I had to pay for lunch and for dinner and finally taking cab instead of metro. All of this increased my budget. So disappointed with Air Asia, No value of our time, had to pay more and my whole day and plans was compromised. Please avoid taking AirAsia, I with my family had worst experience ever.",no
AirAsia India,1,"""none of them had received calls""",N Barun,7th April 2023,"✅ Trip Verified |  I have booked tickets for 6 people. 4 hours before the flight take off I received a call from AirAsia customer service that the flight is cancelled due to technical issue. I was asked to take the next day 5 am call. I told them I had already started my commute to airport and try to find an alternate flight for the same day. 10 minutes later I got a call again stating that the technical problem got resolved and I can use the same flight. When I enquired with some of the co-passengers to find out whether they received similar call from AirAsia, none of them had received calls like that.",no
AirAsia India,10,"""Thanks to his generous behaviour""",Amit Das,7th April 2023,"✅ Trip Verified |  Yesterday we travelled from Guwahati to Chennai, unfortunately at the last moment of check in there was a problem for which we were not allowed to check in. Thanks to one of the employee of AirAsia Mr Soni who helped us to check in n get the boarding pass. Thanks to his generous behaviour and helpful nature.",yes
AirAsia India,7,"""staff was good""",Kinshuk Kumar,29th September 2022,"✅ Trip Verified |  The seats were comfortable, leather covers on the seats provided premium look and comfort. Leg room was low as per my height (5 10), staff was good and services were also good. Ground staff was helpful. Due to some reason i wasn't able to check in and book my seat, i requested on the counter he allotted me the seat although he requested for a positive feedback to be written.",yes
AirAsia India,10,"""It was a great experience""",Hashokmi Kamkara,29th September 2022,"✅ Trip Verified |  The service of the head Airhostess Ms Kadoyee was very impressive, she was very Humble, understanding to all our grievances and explained in details about the various facilities and services in the flight. It was a great experience flying with AirAsia. Luggage arrangements and boarding was excellent. Personal care with senior citizen was a great sign of humanity and consideration. Thank you",yes
AirAsia India,1,"""Terrible experience with check in""",S Hanecas,29th September 2022,"✅ Trip Verified |  Terrible experience with check in at Goa airport. I had paid for the much advertised Red Carpet service. There were only 2 counters open and both, (including one which was supposed to be red carpet) were crowded and disorderly. There was no premium feel and I had to go to the ordinary counter for baggage drop. Felt cheated for paying for a service that the airline could not offer and it appeared to be a way of fleecing customers. Check in staff were not sympathetic and did not care. Pathetic service. Will never travel by AirAsia India if there is a choice. To be fair to the airline, the only good experience was the hot and good food served on the flight.",no
AirAsia India,10,"""Awesome polite cabin crew""",D Jasana,29th September 2022,✅ Trip Verified |  Great fares. Excellent ground staff who calls you to let you know gate is closing. Awesome polite cabin crew. Comfortable seats. Excellent service. Good food.,yes
AirAsia India,9,"""such a lovely staff""",S Payal,29th September 2022,"✅ Trip Verified |  The ground staff Ms Piyalis at Kolkata behaviour was excellent. She helped us in completing all the process very fast, she was cooperative and very humble. Thanks to AirAsia for having such a lovely staff.",yes
AirAsia India,2,"""Boarding was delayed by 30 min""",Pooja Bisht,29th September 2022,"✅ Trip Verified |  From making a reservation first they canceled the morning flight, they shifted the passenger to afternoon flight. Boarding was delayed by 30 min. A small seat if someone is broad and and heavy weight.",no
AirAsia India,8,"""Overall a good flight""",R Vanush,29th September 2022,"✅ Trip Verified |  On this flight as my travel agency had performed a group booking check in online was possible just couple of days before the flight. However when tried to print the baggage tags at the airport kiosks, I was unable to do so. The check in desks helped to drop the bag and I was pleased to note that during the boarding process, the staff was ensuring that people board as per their zones and this also helped prevent overcrowding during boarding. As the flight was a bit on the lighter side, the crew made me sit at an emergency exit row seat free of cost which was really great as the legroom was really good for a 2 hour 20 minute journey. The flight landed also on time and baggage retrieval was also swift. Overall a good flight. Appreciated the gesture of the crew allotting me an exit row seat.",yes
AirAsia India,1,"""my experience was not pleasant""",Ravi Chithajhallu,29th September 2022,"✅ Trip Verified |  Vizag to Delhi and my experience was not pleasant. I booked international baggage and additional Baggage along with VIP for all 3 passengers. Other PNR only VIP. When I booked I had questions about baggage allowance showing 45kgs per passengers so called customer service (Twice) for clarification and suggestion for carrying 60kg per passenger. With the answers provided I was convinced and proceeded with the same. When i reached the airport at the check in counter the staff informed me that my luggage is overweight and i need to pay, initially i was trying to explain what's my understanding from customer service rep of airasia, immediately i was cut off by the line manager standing there in suit saying ""how can you believe customer service guys and you must know"". When I responded that i have call records he said ok lets play them now and listen to check in. When i was trying to play the record he again cut me off saying what exactly is my problem as i should be aware of baggage allowance policy and started laughing with his colleague. This was very insulting in front of my family as they felt very embarrassed to be treated like novice flyers. I responded saying I will deal with this later, let me get checked in and paid the extra money and while leaving the line manager along with other staff were murmuring and laughing. Soon one of the staff approached me, looking that we were upset, saying ""sir we will do what we can do to raise a service note of what happened here"" and apologised and left.",no
AirAsia India,9,"""thankful to them""",Saurav Kumar,29th September 2022,"Not Verified |  Due to some unexpected scenarios, I came to airport few mins before the flight time and boarding time was supposed to be much before that. I was about to miss my flight but the AirAsia team cooperated a lot and helped me board the flight which was very kind of them. I would be thankful to them. I hope this kind of service continues for all the different airline carriers also.",yes
AirAsia India,10,"""allow normal size sports equipment""",Madhavi Mishra,29th September 2022,✅ Trip Verified |  I’m glad Air Asia allowed my tennis racquets in the checking luggage without extra charges both ways Bangalore - Bhubaneswar. AirAsia’s policy to allow normal size sports equipment without extra charges is highly appreciated.,yes
AirAsia India,1,"""Will never choose it again""",Swati Pandey,26th June 2022,Not Verified |  Absolutely worse service. No customer care agent available to speak. My flight got cancelled because of some technical reasons by AirAsia India and i will get the refund amount after deducting 1000 rs from the total amount i paid. Regret to choose AirAsia India. Will never choose it again nor will refer it to anyone.,no
AirAsia India,1,"""we will not travel with you any more""",Chinmay Deshpande,26th June 2022,"✅ Trip Verified |  I have taken flight with my family from Srinagar to Pune I5 737. Flight details was there will be 35 minutes halt at Delhi airport and Pune passenger will not be allowed to off board. When flight landed at Delhi air hostess announced that Pune passengers need to contact ground staff. We were total 8 Pune passengers which include kid of 2.5 yrs and senior citizens also. Ground staff told us that we have to off board and take another flight of AirAsia which will take off at 22.50 and handed us another ticket. The Srinagar flight landed at 22.20 then they take us from bus to exit and asked us to go from internal transfer with again all handbag checking. At ticket scanning the new tickets which they handed from that 2 tickets were not scanning and throwing some error in their system. So we have to wait there for 10 minute to get the clearance. After that ground staff was asking us to run till gate number 49 to get into another flight. With us as mention having senior citizens and also a kid, literally we had to run with all our hand bags. At gate 49 AirAsia person was saying to us that previous flight do not have that much of capacity. This is the worst management I have seen till now they are not aware about their flight capacity and asking passengers to take another flight in mid of journey. Thank you Air Asia for this pathetic experience and we will not travel with you any more.",no
AirAsia India,1,"""very serious concern about baggage""",N Tharkude,26th June 2022,"✅ Trip Verified |  I strongly recommend not to use AirAsia India. I have to raise a very serious concern about baggage. On 21st May we two families landed Srinagar at 1:30 pm, out of our 6 bags 1 bag was missing on the belt, upon asking they said bag was left behind for scanning it will come in next flight, after several follow up they delivered the bag to , me at hotel but the bag lock was tampered, bag got damaged for which I have sent email to nodal officer but the reply I got from them was asking age of the bag, invoice of the bag, that means they can do this by compensating by age of the bag which I have used only 3rd time.",no
AirAsia India,1,"""for the first time and now I really regret my decision""",K Laghari,26th June 2022,"✅ Trip Verified | I booked a flight from Delhi to Bangalore on 1/6/2022. I booked this ticket on 24/05/2022. Since I stay far away from the airport I choose the 9.30am flight. But on 27/05/2022 I got a message from AirAsia stating that they have cancelled my flight and they have re-accommodated me to another flight which is from Delhi to Visakhapatnam and Visakhapatnam to Bangalore but the problem was with the flight timing which is at 6.00am. If I need to get this flight I have to be at the airport by 4.00 am, which is impossible for me based on my location. I booked a premium ticket so I tried to change the date but I have to admit that I choose the wrong date in panic. Then I tried to cancel the ticket but the AirAsia agent told me that they can't refund the amount. It is their mistake for cancelling the flight and they won't refund for it. I usually prefer Indigo, I have never faced such problems but for a change I went with AirAsia for the first time and now I really regret my decision. I will never ever choose AirAsia again in my life time. This is opinion.",no
AirAsia India,1,"""Very disappointed with AirAsia India""",C Halchar,26th June 2022,"✅ Trip Verified |  I had worst experience with Air Asia airlines today with flight from Delhi to Jaipur. At check-in unnecessary harassment to my 14year old, first with ID, not convinced with Aadhar card. I had to rush to give money he asked to pay as compensation, as my child's boarding had started. I had no option but to give money. Allowed luggage is 25kg, which I clarified twice before doing online check in, this guy says only 15kg. Now again pay money for extra luggage.  Very disappointed with AirAsia India.",no
AirAsia India,1,"!""I am done with AirAsia India""",Arunima Singh,26th June 2022,"✅ Trip Verified |  I want to highlight 2 pathetic experiences of AirAsia India here; One is the latest one wherein my younger sister was forced to miss her flight when no assistance was provided to her and she was held back by the staff till 2.30 when she had reached the airport at 2.05 PM. No one had helped her by escorting her through the security check. My sister is 18 years old and was travelling to Srinagar, AirForce Station to my sister, I purposely booked AirAsia, because I being a Tata employee prefer Tata products and services and also my sister being travelling for the first time alone, I took the leap of faith in AirAsia. However, rather than getting assistance she was stopped and held back by the staff of AirAsia itself which led to waste her time and missing her flight. When tried to negotiate with the staff they offered her to pay them 8000/- INR for the upcoming flight. I tried to speak to one of the executives over the phone and she rudely responded saying that drop an email, I can't help. I am done with AirAsia India and would definitely make sure for everyone around me.",no
AirAsia India,9,"""The crew were friendly and welcoming""",H Shavun,26th June 2022,"✅ Trip Verified |  I had booked this flight a long time back in February so the fares were much cheaper. The web check-in process was smooth and it is observed that if one selects the default seats, they are free of cost however if one selects any other seat then a small fee needs to be paid. The bag drop was in terminal 1 of Mumbai airport which was done in a jiffy. Boarding started well ahead of time and the leather seats were good however for a taller person they might be slightly cramped. I was pleasantly surprised to know that I was entitled to a corporate meal as that was booked during the time of booking and so a small veg roll with some mango juice was provided on the flight which was quite good. The crew were friendly and welcoming during boarding / de-boarding. All in all a satisfactory flight.",yes
AirAsia India,1,"""This has been a terrible experience""",Sayandip Ghosh,26th June 2022,"✅ Trip Verified |  I booked an air ticket from the Air Asia website and paid with my MasterCard. A transaction fee was also deducted. When the flight was rescheduled, I opted for a refund. It was confirmed in the WhatsApp chat. The refund was processed on 12 Nov 2021. But the money was not received on my Card. I contacted them repeatedly regarding this issue, but every time I was informed that the money was paid from your end. I repeatedly had long queries at my bank. The bank checked everything and said no money was issued to my MasterCard. I have been contacting them for more than 2 months at least 10 times. No effort was made by them to refund. Only empty words. This has been a terrible experience for me.",no
AirAsia India,9,"""a very nice and unexpected touch""",S Shavun,26th June 2022,"✅ Trip Verified |  We had booked tickets to Bangalore back in January where the fares were pretty reasonable. It was observed that during the online check in, once can do the process 12-14 days before the flight and also the default seat selection was free of charge which is well appreciated as other LCCs usually need the passenger to purchase the seat. The baggage drop was smooth process and the boarding also started on time and was greeted upon boarding by a crew member. The seats were comfortable enough however on longer flights this could be an issue where the seats might be cramped for someone on the taller side. The flight itself was uneventful however before landing, the crew distributed small perfume bottles which was a very nice and unexpected touch because in this era where airlines try to look for every opportunity to charge passengers, this gesture of providing free Titan perfumes was much appreciated. I would consider flying Air Asia India next time for the right price.",yes
AirAsia India,1,"""service offered were horrible""",M Maltafan,26th June 2022,✅ Trip Verified |  Worst experience from AirAsia India as the service offered were horrible and non professional. They cancelled the direct flight a day before our journey and reschedule a long connection flight for travel without our consent which made us sit in the airport waiting area for 10 hours without any customer service from the airline.,no
AirAsia India,1,"""the worst airline you can board""",S Marpati,11th December 2021,"✅ Trip Verified |  Possibly the worst airline you can board. The staff is terrible and seems unpaid as rude behaviour reflects upfront. They will cool down the cabin temperature to below 18 degrees and then start renting out thin blankets for 400-500 rs. They change the gate frequently and wont send you any message. When you confront them, they will simply shrug their shoulders.  No words to define how low they can go to harass customers. Experience it on your own to know more. Do not opt for this airline. It may save you couple hundred bucks but will give you nightmares of life time.",no
AirAsia India,1,"""charge you for every ounce of luggage""",Y Hardikar,11th December 2021,✅ Trip Verified |  Terrible airline. Please don't waste your money by choosing to fly with them. They will charge you for every ounce of luggage including laptops. Do not recommend them ever,no
AirAsia India,1,"""the refund amount is low""",Snehitha Vundi,11th December 2021,Not Verified |  I recently booked flight tickets for me and my family to fly from Hyderabad to Bangalore. But due to the bad weather condition in Bangalore and due to the heavy rains I decided to off my journey and when I decided to cancel all of my tickets the airline showed me a refund amount of not even 10% of the amount I paid. I can say that it is the worst airline ever. I not even showed up and I am cancelling it far more than 24 hours but still the refund amount is low where I felt very bad.,no
AirAsia India,1,"""never recommend AirAsia India""",Nilesh Singh,11th December 2021,✅ Trip Verified |  It was a early morning flight and I was unable to do web checkin. I approach to the AirAsia desk and staff was totally unprofessional. She just ignored and start attending the other customers. After waiting for a while she just walked out from the window. I will never recommend AirAsia India. Horrible ground staff.,no
AirAsia India,8,"""seat pitch is something that needs to be kept in mind""",V Agarwal,11th December 2021,"✅ Trip Verified | After a long time, I had decided to fly back to Bangalore on Air Asia on this afternoon flight as the timing was convenient for the arrival. A point to note is that the check in for the flight has opened almost 2 weeks before the departure of the flight as opposed to the usual 48 hours which is present on the other flights. Also another point to note is that the default seat selection which is provided by Air Asia seems to be free of cost, however if we try to change our seating rows, then a charge of Rs 250 needs to be provided for the window / aisle seats. As me and my wife were travelling together, I had decided to go with the default seat selection so as to avoid the extra seat fares. During the check-in the staff was proactive enough to accommodate me and my wife in a separate line which was faster than the usual long queues present. Also the crew wanted us to provide a feedback on the check-in process and how it could be improved and this was a pretty fun thing that was done. Boarding started well on time and one thing to note is that, if you are a person on the taller side, the seats could be a bit cramped. I have flown on other low cost carriers and Air Asia seems by far the most cramped when it comes to seat pitch. On short haul flights they are fine however on flights of more than 2 hours it could get uncomfortable. Also during boarding, I did not see the crew welcoming everyone on board which is something that was surprising considering how well the staff at the check in counters were. Flight landed well ahead of schedule and baggage was also retrieved quickly. For the money that was paid, the service provided was nice. However seat pitch is something that needs to be kept in mind.",yes
AirAsia India,1,"""wait in Pune airport for 7 hrs""",Deeksha Rajpoot,11th December 2021,"✅ Trip Verified |  We booked our flights for 21st sep 2021 from BBI>DEL,& on 28th sep 2021 from DEL>BBI (direct flights ,no stop-over) in advance on 13th August 2021 so that we did not suffer by anything. Today we received a notification that our direct flight is going to be connecting now from BBI>PNQ>DEL (with almost 7 hour of halt in PNQ). Now my elderly parents have to wait in Pune airport for 7 hrs which making me furious. You are not able to give me earlier or later (+- 2,day flexibility) flight because you do not have any direct flight so its none of my problem. I purchase for some service and I deserve the same.",no
AirAsia India,8,"""overall flight went well""",V Purna,11th December 2021,"Not Verified |  The AirAsia airline was pretty good. My height is 183cm even then I felt comfortable with the leg space. The airhostess were very polite and helpful they changed the seats too, those are willing to change there seat can change and he arranged the passengers who are sitting in middle seats to window or side corner seats and it was in budget. Tthe ground staff were also good but not so good in politeness But overall flight went well.",yes
AirAsia India,1,"""insisted on redistributing the luggage""",Divya Garg,11th December 2021,✅ Trip Verified |  There were 3 passengers (including a kid of 2 years) and 3 cabin bags. Total weight of 3 bags was less than 21 kgs. It was just that one bag was 8kg and others very light. So it should not have been an issue. But airline staff insisted on redistributing the luggage among bags. I see no point in doing that.,no
AirAsia India,1,"""received my refund after 6 weeks""",K Khan,11th December 2021,"Not Verified |  Made an online booking since the fares were cheaper than others. To be fair to them the flight crew were helpful and attentive on the outward journey. The return flight was cancellede. We were promised a refund. After a month of waiting, started communicating via e mails. Absolutely no response. Calls and mails received but no refund. After much follow up and constantly asking received my refund after 6 weeks.",no
AirAsia India,10,"""Wonderful and attentive crew members""",Vimi Raikhan,11th December 2021,✅ Trip Verified | Extremely wonderful. Definitely worth flying with again. Wonderful and attentive crew members. Cheerful and always with a ready to help attitude. Keep up the good work.,yes
AirAsia India,9,"""share the pleasant experience I had""",Santosh Battepati,26th February 2021,"Not Verified |  I would like to share the pleasant experience I had, flying the Air Asia from Bangalore to Jaipur via Hyderabad on 19th Feb'21. It was my 15th Yr wedding anniversary and I wanted to make it special for my wife. So, I checked with the cabin crew if they could do something special for the occasion and they immediately obliged and made a special announcement wishing myself and my wife and the entire cabin crew came and wished us and sang for us which was amazing. They surprised my wife with the gift I had bought for her and made me propose in the flight which was romantic and nice. The cabin crew members Bindu and team where really amazing and they did a fantastic job. Like to thank them and the captain for making our day special and something to remember forever.",yes
AirAsia India,10,"""Kudos to the entire team!""",Swastika Gurung,26th February 2021,✅ Trip Verified |  Kudos to the entire team! I had a morning flight from Bagdogra to Kolkata. It was a short flight but I must say I had one of the best experience so far. Smooth and Comfortable! A special mention of in-flight attendants Anjita and Deepika they definitely deserve praise especially in time of COVID. The safety was well taken care of. They were extremely hospitable and at the same time professional. Keep up the good work!,yes
AirAsia India,1,"""I cancelled the ticket""",Ankit Gautam,26th February 2021,✅ Trip Verified |  They are not responsible and do not care about their customers. They haven't approved a cancellation of my ticket since 2 months now. Also there is absolutely no one taking the responsibility. The flight timings were changed and I cancelled the ticket due to that. I have no idea what is it gonna take for them to respond to their customer.,no
AirAsia India,1,"""applied for cancellation""",Sakshi Chandwani,26th February 2021,✅ Trip Verified |  Pune to Jaipur. I paid for a flight I didn't even get on due to lockdown.  I applied for cancellation right away but so far got nothing in return for that flight. And since the day I applied for cancellation I kept contacting the flight but they kept wasting my time for a month and still I got nothing.,no
AirAsia India,1,"""staff didn’t let board""",R K Shrivastaw,26th February 2021,"✅ Trip Verified |  Mumbai to Delhi. Reaching 30 minute before departure time, the staff didn’t let board. I got stuck in roadside traffic on the western expressway. I requested a lot with the available staff but he didn’t listen my request and denied. I complained on AirAsia India feedback but they just close my case without any investigation or taken any steps.",no
AirAsia India,1,"""refund in the form of credit points """,Deepak Dahale,26th February 2021,"Not Verified |  AirAsia India is not customer-oriented air carrier. In Covid-19 spread issue, they are allowing to cancel tickets but refund will be in the form of credit points which can be used later. And allowing to reschedule the itinerary with payment of ticket difference amount.",no
AirAsia India,1,"""no telephone service outside India""",Manpreet Kaur,26th February 2021,"Not Verified |  Melbourne to Amritsar via Kuala Lumpur. This is one of the worst airlines out there in terms of getting into contact with. They have no telephone service in countries outside India so it is impossible to get into contact with them when you need help. Their AVA service on their website is completely useless. For the low price, which is technically not because with all the add ons such as seat prices and bag prices  all add up to be normal prices of flights with other airlines.",no
AirAsia India,1,"""cabin bag bigger than permitted size""",S Snehil,26th February 2021,"✅ Trip Verified |  Delhi to Bangalore via Hyderabad. We had extra luggage of 6 kgs and we were ready to pay for it, but the lady responsible for our check in was determined to make us pay extra (first she told for 1kg extra luggage we will have to pay 580, which should be 400, we were 2 people and the total check in baggage was exact 30 kg - one 18 and other one 12 - she said if we pay her 1100 extra, then only she will be able to allow both luggage, then she said that the cabin bag is bigger than permitted size and we will have to pay extra.  It was a very bad experience for me since I had to move a lot of things right over there in order to balance the weights.",no
AirAsia India,1,"""cancellation charges will apply""",Ganesh Radhakrishnan,26th February 2021,"Not Verified |  I booked my flight from Chennai to Delhi in February, travel date March 21st. 4 tickets including 2 kids. Because of coronavirus I asked to cancel my ticket. But they told me cancellation charges will apply. This critical situation also they not waive the cancel charges. Return flight I booked with IndiGo, they waive the cancel charges and refund full amount.",no
AirAsia India,10,"""I was pleasantly surprised""",Naushaad Ginwalla,26th February 2021,"Not Verified |  I was pleasantly surprised with the quality Of AirAsia India. In fact the cabin crew was really 5star in service, especial thanks to Manthan the cabin crew purser on our flight from Pune to Jaipur on 9th March.",yes
AirAsia India,1,"""even changed the seat""",Shakeel Bakshi,17th February 2020,✅ Trip Verified |  Mumbai to Srinagar via Delhi. Selected the flight due to least trouble of not changing the plane at Delhi and paid extra fare for seat selection. It was good till we landed at Delhi. There I was handed a new boarding pass and was made to run from one plane to another boarding gate undergoing the security once again. The airline had changed the flight and even changed the seat as per their choice without a word of sorry.,no
AirAsia India,9,"""the flight was quite nice""",R Vashun,17th February 2020,"✅ Trip Verified |  Bengaluru to Mumbai on Air Asia India was taken this early morning and the check in process was smooth enough at Bangalore where after getting the boarding passes printed out at the kiosks. As my check in baggage weight exceeded the 15kg free allowance as I had extra luggage packed, I was made to pay around 375 Rs for every extra kg and the staff there were generous enough to waive off 1 kg extra in exchange for a South Indian breakfast on the flight which was reasonable enough. The boarding started on time and there was some nice funky boarding music being played and the seats were comfortable enough although on longer duration trips, it could be uncomfortable. The flight departed on time and even though the flight was full, the crew were very nice and after takeoff I even got the South Indian breakfast which consisted of an idli, medu vada with sambhaar and upma. The meal was decent enough although if one has to purchase this directly in-flight, it was quite pricey at around 350 INR and maybe the quantity does not justify the price. But then again, low cost carriers aren't exactly known for being generous when it comes to inflight food and beverages. Landing was on time and retrieval of the baggage was also swift. I would say that the flight was quite nice and even though low cost carriers try to maximize revenue through ancillary services (meals / excess baggage) they provide the best functional experience when it comes to taking you from point A to point B. And Air Asia does that pretty well. I cannot think of any area which was lacking on this flight. Keep it up.",yes
AirAsia India,5,"""Need to learn a lot""",Praveen Elavarasan,17th February 2020,✅ Trip Verified |  Delhi to Chennai. Not on time departure. Senior crew member doesnt know how to respect the passenger. Went on to an argument with the crew for money exchange. I was not handled properly. Didnt get a message either for the delay I had to rush and come later found the flight was delayed. Staffs in Airport were awesome. Corporate meal info was not mentioned on the ticket. Need to learn a lot from Indigo.,no
